,min_spectro_db,max_spectro_db,filename
0,-46.876595,33.123405,IR - Eleanor na Run.mp3
1,-46.030125,33.969875,IR - Eleanor na Run.mp3
2,-48.3507,31.6493,IR - Eleanor na Run.mp3
3,-42.68236,37.31764,IR - Eleanor na Run.mp3
4,-48.21945,31.78055,IR - Eleanor na Run.mp3
5,-44.4957,35.5043,IR - Eleanor na Run.mp3
6,-43.897625,36.102375,IR - Eleanor na Run.mp3
7,-47.954994,32.045006,IR - Eleanor na Run.mp3
8,-45.594666,34.405334,IR - Eleanor na Run.mp3
9,-49.37851,30.621492,IR - Eleanor na Run.mp3
10,-46.292217,33.707783,IR - Eleanor na Run.mp3
11,-46.767582,33.232418,IR - Eleanor na Run.mp3
12,-44.306572,35.693428,IR - Eleanor na Run.mp3
13,-46.30638,33.69362,IR - Eleanor na Run.mp3
14,-45.38656,34.61344,IR - Eleanor na Run.mp3
15,-44.921696,35.078304,IR - Eleanor na Run.mp3
16,-42.952557,37.047443,IR - Eleanor na Run.mp3
17,-43.08006,36.91994,IR - Eleanor na Run.mp3
18,-45.005203,34.994797,IR - Eleanor na Run.mp3
19,-36.519966,43.480034,IR - Maudabawn Chapel.mp3
20,-34.922028,45.077972,IR - Maudabawn Chapel.mp3
21,-34.54496,45.45504,IR - Maudabawn Chapel.mp3
22,-33.40576,46.59424,IR - Maudabawn Chapel.mp3
23,-33.96916,46.03084,IR - Maudabawn Chapel.mp3
24,-33.343693,46.656307,IR - Maudabawn Chapel.mp3
25,-31.16845,48.83155,IR - Maudabawn Chapel.mp3
26,-37.386528,42.613472,IR - Maudabawn Chapel.mp3
27,-39.490265,40.509735,IR - Maudabawn Chapel.mp3
28,-32.54106,47.45894,IR - Maudabawn Chapel.mp3
29,-35.033527,44.966473,IR - Maudabawn Chapel.mp3
30,-38.09927,41.90073,IR - Maudabawn Chapel.mp3
31,-33.54054,46.45946,IR - Maudabawn Chapel.mp3
32,-36.69808,43.30192,IR - Maudabawn Chapel.mp3
33,-33.123592,46.876408,IR - Maudabawn Chapel.mp3
34,-37.332706,42.667294,IR - Maudabawn Chapel.mp3
35,-30.699753,49.300247,IR - Maudabawn Chapel.mp3
36,-33.34927,46.65073,IR - Old Killeavey.mp3
37,-33.081856,46.918144,IR - Old Killeavey.mp3
38,-32.591698,47.408302,IR - Old Killeavey.mp3
39,-32.142876,47.857124,IR - Old Killeavey.mp3
40,-33.237503,46.762497,IR - Old Killeavey.mp3
41,-34.89891,45.10109,IR - Old Killeavey.mp3
42,-35.859352,44.140648,IR - Old Killeavey.mp3
43,-32.952446,47.047554,IR - Old Killeavey.mp3
44,-35.116966,44.883034,IR - Old Killeavey.mp3
45,-34.233627,45.766373,IR - Old Killeavey.mp3
46,-34.827976,45.172024,IR - Old Killeavey.mp3
47,-32.420288,47.579712,IR - Old Killeavey.mp3
48,-35.9679,44.0321,IR - Old Killeavey.mp3
49,-34.66673,45.33327,IR - Old Killeavey.mp3
50,-32.225883,47.774117,IR - Old Killeavey.mp3
51,-37.34909,42.65091,IR - Old Killeavey.mp3
52,-35.281143,44.718857,IR - Old Killeavey.mp3
53,-34.310814,45.689186,IR - Old Killeavey.mp3
54,-34.12268,45.87732,IR - Old Killeavey.mp3
55,-32.478897,47.521103,IR - The Bucks of Dranmore.mp3
56,-32.221,47.779,IR - The Bucks of Dranmore.mp3
57,-35.188026,44.811974,IR - The Bucks of Dranmore.mp3
58,-33.256916,46.743084,IR - The Bucks of Dranmore.mp3
59,-33.88304,46.11696,IR - The Bucks of Dranmore.mp3
60,-32.70571,47.29429,IR - The Bucks of Dranmore.mp3
61,-33.43873,46.56127,IR - The Bucks of Dranmore.mp3
62,-33.58406,46.41594,IR - The Bucks of Dranmore.mp3
63,-33.634243,46.365757,IR - The Bucks of Dranmore.mp3
64,-32.995724,47.004276,IR - The Bucks of Dranmore.mp3
65,-34.242996,45.757004,IR - The Bucks of Dranmore.mp3
66,-32.762817,47.237183,IR - The Bucks of Dranmore.mp3
67,-33.98316,46.01684,IR - The Bucks of Dranmore.mp3
68,-42.392826,37.607174,IR - The Stone in the Field.mp3
69,-41.178543,38.821457,IR - The Stone in the Field.mp3
70,-41.25495,38.74505,IR - The Stone in the Field.mp3
71,-40.688885,39.311115,IR - The Stone in the Field.mp3
72,-39.691948,40.308052,IR - The Stone in the Field.mp3
73,-40.276005,39.723995,IR - The Stone in the Field.mp3
74,-41.385643,38.614357,IR - The Stone in the Field.mp3
75,-40.904392,39.095608,IR - The Stone in the Field.mp3
76,-39.894203,40.105797,IR - The Stone in the Field.mp3
77,-38.919086,41.080914,IR - The Stone in the Field.mp3
78,-34.283863,45.716137,IR - The Stone in the Field.mp3
79,-33.605736,46.394264,IR - The Stone in the Field.mp3
80,-35.444054,44.555946,IR - The Stone in the Field.mp3
81,-33.600086,46.399914,IR - The Stone in the Field.mp3
82,-35.834488,44.165512,IR - The Stone in the Field.mp3
83,-37.898388,42.101612,IR - The Stone in the Field.mp3
84,-31.14907,48.85093,IR - The Stone in the Field.mp3
85,-33.17994,46.82006,IR - The Stone in the Field.mp3
86,-37.291626,42.708374,IR - The Stone in the Field.mp3
87,-35.978004,44.021996,IR - The Stone in the Field.mp3
88,-33.733276,46.266724,IR - The Stone in the Field.mp3
89,-32.89537,47.10463,IR - The Stone in the Field.mp3
90,-34.254604,45.745396,IR - The Stone in the Field.mp3
91,-33.905365,46.094635,IR - The Stone in the Field.mp3
92,-32.712364,47.287636,IR - The Stone in the Field.mp3
93,-36.0272,43.9728,IR - The Stone in the Field.mp3
